"","X","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","latitude","longitude"
"1",1,"Adventure Landing","2600 E Franklin Blvd","Gastonia","NC",28056,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"2600 E Franklin Blvd Gastonia NC 28056","www.adventurelanding.com",35.260613542945,-81.131735956983
"2",2,"Adventure Landing","3311 Capital Blvd","Raleigh","NC",27604,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"3311 Capital Blvd Raleigh NC 27604","www.adventurelanding.com",35.824405889245,-78.587515790201
"3",3,"Adventure Landing","1600 S Stratford Rd","Winston Salem","NC",27103,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"1600 S Stratford Rd Winston Salem NC 27103","www.adventurelanding.com",36.072497696259,-80.303602374371
"4",4,"Carowinds","14523 Carowinds Blvd","Charlotte","NC",28273,6756,"Ronald","Luhrs","Manager",7045882600,"Amusement Places",713110,NA,NA,NA,NA,"Private","Mecklenburg",2000,115387000,"cedarfair.com",1973,"14523 Carowinds Blvd Charlotte NC 28273","www.cedarfair.com",35.10066165014,-80.94953476764
"5",5,"Flip N Fly","830 Inspiration Dr","Wilmington","NC",28405,4173,"Hunter","Meyers","Other",9106795050,"Amusement Places",713110,713990,NA,NA,NA,"Private","New Hanover",4,401000,"flipnfly.com",2018,"830 Inspiration Dr Wilmington NC 28405","www.flipnfly.com",34.243944904308,-77.829937935999
"6",9,"Appalachian Riverboard Co","174 Weaverville Rd # 6","Asheville","NC",28804,1238,"Kevin","Yount","Owner",8283522155,"Amusement Places",713110,NA,NA,NA,NA,"Private","Buncombe",2,207000,"appalachianriverboardcompany.com",2009,"174 Weaverville Rd # 6 Asheville NC 28804","www.appalachianriverboardcompany.com",35.648457454946,-82.581208613123
"7",10,"BBS Amusements","1300 Arendell St","Morehead City","NC",28557,4146,"Candace","Walston","Owner",2524999065,"Amusement Places",713110,423850,NA,NA,NA,"Private","Carteret",1,89000,"crystalcoastnc.org/listing/bbs-amusements-flashbax-arcade/23593/",2019,"1300 Arendell St Morehead City NC 28557","www.crystalcoastnc.org/listing/bbs-amusements-flashbax-arcade/23593/",34.722028853726,-76.719804373742
"8",11,"Fun City Indoor Playground","3551 Lackey St","Lumberton","NC",28360,9048,"Ayman S","Abdelmalek","Manager",9103700720,"Amusement Places",713110,712190,NA,NA,NA,"Private","Robeson",2,188000,"lumberton-nc.com/fun-city-lumberton/",2019,"3551 Lackey St Lumberton NC 28360","www.lumberton-nc.com/fun-city-lumberton/",34.645734826378,-79.014776664673
"9",12,"Gridlock Amusements","415 Western Blvd # B","Jacksonville","NC",28546,7645,"Ricky I","Mundy","Manager",9100001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Onslow",4,633000,"j-vegas.com",2020,"415 Western Blvd # B Jacksonville NC 28546","www.j-vegas.com",34.768219002072,-77.385078121793
"10",13,"Jp's Jump Masters","7005 Nexus Ct","Fayetteville","NC",28304,2672,"Kate","Meador","Manager",9102230200,"Amusement Places",713110,713120,713990,NA,NA,"Private","Cumberland",19,1931000,"jpsjumpmasters.com",2017,"7005 Nexus Ct Fayetteville NC 28304","www.jpsjumpmasters.com",35.034728095675,-79.015084739936
"11",15,"MEGAPLAY Spring Lake","217 Skyland Plz","Spring Lake","NC",28390,3415,NA,NA,NA,9103399119,"Amusement Places",713110,459420,711190,NA,NA,"Private","Cumberland",4,407000,"megaplayusa.com",2015,"217 Skyland Plz Spring Lake NC 28390","www.megaplayusa.com",35.242259343182,-78.93922203726
"12",16,"Mitchells Amusement Corp","5744 Market St","Wilmington","NC",28405,3502,"Richard L","Mitchell","President",9100001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","New Hanover",5,501000,"mitchellamusements.com",2015,"5744 Market St Wilmington NC 28405","www.mitchellamusements.com",34.249442561249,-77.859598990006
"13",17,"Regional Amusements Inc","6217 N Carolina Highway 39","Selma","NC",27576,NA,"David","Godwin Jr","President",9199656167,"Amusement Places",713110,713120,NA,NA,NA,"Private","Johnston",15,1540000,"regionalamusements.com",2018,"6217 N Carolina Highway 39 Selma NC 27576","www.regionalamusements.com",35.655272106907,-78.256808590274
"14",19,"Zootastic of Lake Norman","448 Pilch Rd","Troutman","NC",28166,8783,NA,NA,NA,7045280027,"Amusement Places",713110,NA,NA,NA,NA,"Private","Iredell",2,317000,"zootasticpark.com",2021,"448 Pilch Rd Troutman NC 28166","www.zootasticpark.com",35.697889780121,-80.845052663175
"15",20,"Pullen Park","520 Ashe Ave","Raleigh","NC",27606,2150,NA,NA,NA,9199966468,"Amusement Places",713110,713940,712190,624110,921120,"Municipal","Wake",52,NA,"raleighnc.gov/parks-and-recreation/places/pullen-park-amusements",2009,"520 Ashe Ave Raleigh NC 27606","www.raleighnc.gov/parks-and-recreation/places/pullen-park-amusements",35.779057336585,-78.662339072537
"16",21,"Mall Jump At Hanes Mall","3320 Silas Creek Pkwy # K300","Winston Salem","NC",27103,3031,"Won","Hudson","Manager",3367743979,"Amusement Places",713110,NA,NA,NA,NA,"Private","Forsyth",5,602000,"shophanesmall.com/store/jump_out",2010,"3320 Silas Creek Pkwy # K300 Winston Salem NC 27103","www.shophanesmall.com/store/jump_out",36.073852297774,-80.298765279247
"17",22,"Raised in a Barn Farm ","2100 Nc Highway 33 E","Chocowinity","NC",27817,8234,NA,NA,NA,2529456153,"Amusement Places",713110,NA,NA,NA,NA,"Private","Beaufort",2,161000,"facebook.com/raisedinabarnfarm",2013,"2100 Nc Highway 33 E Chocowinity NC 27817","www.facebook.com/raisedinabarnfarm",35.494328399973,-77.075338137565
"18",23,"Maze Craze","370 Artesia Rd","Hallsboro","NC",28442,9187,"Alma","Galloway","Owner",9105208940,"Corn Maze",713110,NA,NA,NA,NA,"Private","Columbus",2,158000,"ncmazecraze.com",2011,"370 Artesia Rd Hallsboro NC 28442","www.ncmazecraze.com",34.327660101134,-78.577176641915
"19",24,"Aberdeen Fear Factory","10570 Nc 211 Hwy","Aberdeen","NC",28315,4709,NA,NA,NA,9104604074,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Moore",5,791000,"aberdeenfearfactory.com",2020,"10570 Nc 211 Hwy Aberdeen NC 28315","www.aberdeenfearfactory.com",35.121936129077,-79.394122828711
"20",25,"Backwoods Terror Ranch","2990 Sunnyside School Rd","Fayetteville","NC",28312,6914,NA,NA,NA,8337874868,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Cumberland",4,407000,"backwoodsterrorranch.com",2021,"2990 Sunnyside School Rd Fayetteville NC 28312","www.backwoodsterrorranch.com",35.024763921456,-78.818311626148
"21",26,"Devils Playground","8344 Colliers Chapel Church Rd","Linden","NC",28356,9252,"Stephanie","Freas","Owner",9106919624,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Cumberland",2,204000,"devilsplaygroundhaunt.com",2014,"8344 Colliers Chapel Church Rd Linden NC 28356","www.devilsplaygroundhaunt.com",35.231894305606,-78.719526698604
"22",27,"Fishstrong Fright Nights","3100 Freedom Way","Hubert","NC",28539,3802,NA,NA,NA,9103264071,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Onslow",2,317000,"fishstrongfrightnights.com",2019,"3100 Freedom Way Hubert NC 28539","www.fishstrongfrightnights.com",34.715975005849,-77.207870374808
"23",28,"Hacker House","188 Hacker House Trl","Pilot Mountain","NC",27041,7535,NA,NA,NA,3363513275,"Haunted Houses",713110,713110,NA,NA,NA,"Private","Surry",4,633000,"hackerhouse.com",2008,"188 Hacker House Trl Pilot Mountain NC 27041","www.hackerhouse.com",36.405980854013,-80.467808971489
"24",29,"Haunted Forest At Panic Point","2808 Cedar Creek Rd","Youngsville","NC",27596,8960,"Brian","Garff","Owner",9195268612,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Franklin",5,469000,"raleighhauntedhouse.com",2011,"2808 Cedar Creek Rd Youngsville NC 27596","www.raleighhauntedhouse.com",36.026886570991,-78.459943155738
"25",30,"Lake Hickory Haunts","520 Carolina Ave","Hickory","NC",28601,7181,"Ryan","Settlemyre","Manager",8282121442,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Catawba",75,6956000,"lakehickoryhaunts.com",2012,"520 Carolina Ave Hickory NC 28601","www.lakehickoryhaunts.com",35.762987730297,-81.438710435701
"26",31,"Nightmare Factory","29 Park Ln # 2","Havelock","NC",28532,2686,"Justin","Yates","Owner",2524443327,"Haunted Houses",713110,NA,NA,NA,NA,"Private","Craven",1,103000,"nightmarefactorync.com",2007,"29 Park Ln # 2 Havelock NC 28532","www.nightmarefactorync.com",34.885086106175,-76.91568600207
"27",32,"H2O BX WATERPARK","8526 Caratoke Hwy","Powells Point","NC",27966,9780,"Arthur","Berry","Owner",2524913000,"Water Parks",713110,NA,NA,NA,NA,"Private","Currituck",200,19164000,"h2obxwaterpark.com",2017,"8526 Caratoke Hwy Powells Point NC 27966","www.h2obxwaterpark.com",36.109785407902,-75.824336093431
"28",33,"Lion Water Adventure","2602 W Vernon Ave","Kinston","NC",28504,3349,NA,NA,NA,2529391330,"Water Parks",713110,NA,NA,NA,NA,"Private","Lenoir",48,4513000,"lionswateradventure.com",2013,"2602 W Vernon Ave Kinston NC 28504","www.lionswateradventure.com",35.268694258348,-77.617793549174
"29",34,"Splash Pad","900 S Main St","Fuquay Varina","NC",27526,NA,"Adam","Mitchell","Other",9195521430,"Water Parks",713110,NA,NA,NA,NA,"Private","Wake",2,128000,"fuquay-varina.org",2017,"900 S Main St Fuquay Varina NC 27526","www.fuquay-varina.org",35.57203792062,-78.800672604008
"30",35,"Wet'n Wild Emerald Pointe","3910 S Holden Rd","Greensboro","NC",27406,9503,"Olivia","Wyrick","Manager",3368529721,"Water Parks",713110,NA,NA,NA,NA,"Private","Guilford",500,61746000,"emeraldpointe.com",1984,"3910 S Holden Rd Greensboro NC 27406","www.emeraldpointe.com",36.008464260131,-79.836368122257
"31",36,"White Lake Water Park","192 Highway 53 E","Elizabethtown","NC",28337,NA,"Connie","Hucks","Manager",9108720035,"Water Parks",713110,441227,NA,NA,NA,"Private","Bladen",40,3282000,"whitelakewaterpark.com",2004,"192 Highway 53 E Elizabethtown NC 28337","www.whitelakewaterpark.com",34.648257034126,-78.520351427498
"32",37,"Aloha Safari Zoo","159 Mini Ln","Cameron","NC",28326,6721,"Lee","Crutchfield","Owner",9197707109,"Zoos",712130,NA,NA,NA,NA,"Private","Harnett",10,NA,"alohasafaripark.com",2010,"159 Mini Ln Cameron NC 28326","www.alohasafaripark.com",35.317819686842,-79.113437556638
"33",38,"Da Zoo","738 Chalybeate Springs Rd","Angier","NC",27501,5814,"Michael","Quinn","Manager",9190001111,"Zoos",712130,NA,NA,NA,NA,"Private","Harnett",5,NA,NA,2018,"738 Chalybeate Springs Rd Angier NC 27501","",35.510543786433,-78.751163477766
"34",39,"Lazy 5 Ranch","15100 Mooresville Rd","Mooresville","NC",28115,7245,"Henry","Hampton","Owner",7046635100,"Zoos",712130,112990,712190,712130,NA,"Private","Rowan",25,NA,"thelazy5ranch.com",2005,"15100 Mooresville Rd Mooresville NC 28115","www.thelazy5ranch.com",35.622117420607,-80.714913964772
"35",40,"Lynnwood Park Zoo","1071 Wells Rd","Jacksonville","NC",28540,5823,"Gary","Evans","Owner",9109385848,"Zoos",712130,NA,NA,NA,NA,"Private","Onslow",1,NA,"lynnwoodparkzoo.com",1990,"1071 Wells Rd Jacksonville NC 28540","www.lynnwoodparkzoo.com",34.798157774374,-77.49616872934
"36",41,"Miller Zoo LLC","1816 N Center St","Hickory","NC",28601,1853,NA,NA,NA,8283283432,"Zoos",712130,NA,NA,NA,NA,"Private","Catawba",12,NA,NA,2015,"1816 N Center St Hickory NC 28601","",35.75676944438,-81.335655160934
"37",42,"North Carolina Zoo","4401 Zoo Pkwy","Asheboro","NC",27205,1425,"Cheryl","Turner","Director",3368797000,"Zoos",712130,813319,NA,NA,NA,"Private","Randolph",460,NA,"nczoo.org",1974,"4401 Zoo Pkwy Asheboro NC 27205","www.nczoo.org",35.63330615749,-79.78233968609
"38",43,"Tri-City Zoo","1414 New Bern Ave","Raleigh","NC",27610,2534,"Jerry","Jones","Manager",9190001111,"Zoos",712130,NA,NA,NA,NA,"Private","Wake",39,NA,NA,2021,"1414 New Bern Ave Raleigh NC 27610","",35.77982856536,-78.617543717837
"39",44,"Western NC Nature Ctr","75 Gashes Creek Rd","Asheville","NC",28805,2529,"Chris","Gentile","Director",8282985600,"Zoos",712130,712190,712110,712190,712130,"Municipal","Buncombe",19,NA,"wncnaturecenter.com",1924,"75 Gashes Creek Rd Asheville NC 28805","www.wncnaturecenter.com",35.578230026161,-82.494940770971
"40",45,"Zootastic Park","448 Pilch Rd","Troutman","NC",28166,8783,"Scottie","Brown","Owner",7042456446,"Zoos",712130,NA,NA,NA,NA,"Private","Iredell",6,NA,"zootasticpark.com",2018,"448 Pilch Rd Troutman NC 28166","www.zootasticpark.com",35.697889780121,-80.845052663175
"41",46,"Amazing Acres Farm","732 Piney Grove Wilbon Rd","Holly Springs","NC",27540,8102,"Kathleen","Kesselring","Owner",9193497153,"Petting Zoos",712130,NA,NA,NA,NA,"Private","Wake",3,NA,"getoutsideandlearn.com",2008,"732 Piney Grove Wilbon Rd Holly Springs NC 27540","www.getoutsideandlearn.com",35.632524238402,-78.840574497494
"42",48,"Little Rascals Pony Rides","365 Haughton Williams Rd","Franklin","NC",28734,5866,NA,NA,NA,8284213308,"Petting Zoos",712130,713990,NA,NA,NA,"Private","Macon",2,NA,NA,2023,"365 Haughton Williams Rd Franklin NC 28734","",35.215768881326,-83.426915799038
"43",6,"Frankies Fun Park of Charlotte",NA,"Huntersville","NC",28078,NA,NA,NA,NA,7048757888,"Amusement Places",713110,NA,NA,NA,NA,"Private","Mecklenburg",2,NA,"visitlakenorman.org",2018,"NA Huntersville NC 28078","www.visitlakenorman.org",35.4108278,-80.8429304
"44",8,"Xtreme Kombat",NA,"Durham","NC",27703,NA,NA,NA,NA,9195966100,"Amusement Places",713110,NA,NA,NA,NA,"Private","Durham",2,NA,"xtremeparkadventures.com",2018,"NA Durham NC 27703","www.xtremeparkadventures.com",35.9618006618287,-78.8282048502628
"45",14,"Masonboro Watersports",NA,"Wilmington","NC",28409,NA,NA,NA,NA,9106659410,"Water Parks",713110,NA,NA,NA,NA,"Private","New Hanover",2,201000,NA,2011,"NA Wilmington NC 28409","",34.2257282,-77.9447107
"46",18,"Wahoo's Adventures","3380 Big Hill Rd","Todd","NC",28684,9787,"Christina","Fryzel","Owner",8282625774,"Water Parks",713110,459120,721211,713110,713990,"Private","Watauga",3,189000,"https://wahoosadventures.com",2019,"3380 Big Hill Rd Todd NC 28684","www.https://wahoosadventures.com",36.3072637,-81.5947448
"47",47,"Circle M Livestock",NA,"Shelby","NC",28152,NA,NA,NA,NA,7049644222,"Petting Zoos",712130,NA,NA,NA,NA,"Private","Cleveland",2,NA,NA,2023,"NA Shelby NC 28152","",35.2923513,-81.5356463
"48",49,"Why Not An American Ark","3224 Medlin Rd","Monroe","NC",28112,7476,"Amy","Wylie","Owner",7042265406,"Petting Zoos",712130,712190,NA,NA,NA,"Private","Union",12,NA,"wnaaa.com",2008,"3224 Medlin Rd Monroe NC 28112","www.wnaaa.com",34.9658364930185,-80.5250438872635
